iso3,year,gdp_usd,population,inflation_rate,gdp_log,pop_log,node_id
ABW,2017,3092427932.96089,108735.0,0.0,21.852222358470588,11.596678205031603,0
AFG,2017,18753456497.8159,35688935.0,0.0,23.6546439189766,17.390351282749602,1
AGO,2017,84376935689.3366,30234839.0,0.0,25.158559927391053,17.22450545979518,2
ALB,2017,13258268435.6048,2648285.0,0.0,23.307887227702352,14.7894231962491,3
AND,2017,3000160414.63795,73763.0,0.0,21.821931596064267,11.20862608669501,4
ARE,2017,403365010211.028,9223225.0,0.0,26.723107721500934,16.037235425875135,5
ARG,2017,643628393281.364,44288894.0,0.0,27.19038736744077,17.60624452638968,6
ARM,2017,11527458709.0158,2979400.0,0.0,23.167997740170648,14.90723283156562,7
ASM,2017,612000000.0,51586.0,0.0,20.232242842110587,10.851024981743453,8
AUS,2017,1330890554614.09,24592588.0,0.0,27.916869424023048,17.017955695352033,9
AUT,2017,414926138132.691,8797566.0,0.0,26.751366360935975,15.98998576394882,10
AZE,2017,40866627351.9817,9854033.0,0.0,24.433579609781134,16.103391472455574,11
BDI,2017,2831362208.34039,11506762.0,0.0,21.76402377884838,16.258445507434633,12
BEL,2017,500908767351.53,11375158.0,0.0,26.939689820356104,16.246942500725574,13
BEN,2017,12701655836.9467,12039780.0,0.0,23.264998202852787,16.30372680831075,14
BFA,2017,14106955615.3442,19894407.0,0.0,23.369933818818772,16.805949245180287,15
BGD,2017,293732446624.596,162186147.0,0.0,26.405935144451124,18.90425529525891,16
BGR,2017,59167647387.606,6803468.0,0.0,24.80364073263847,15.732943187124386,17
BHR,2017,37204813829.7872,1501116.0,0.0,24.339703993906948,14.221720055612453,18
BHS,2017,12446900000.0,390485.0,0.0,23.244737432948888,12.875147396146728,19
BIH,2017,18326373135.6099,3428682.0,0.0,23.631607014332562,15.047686780394104,20
BLR,2017,54725405751.1559,9458989.0,0.0,24.725593894711697,16.062476170000544,21
BLZ,2017,2266028250.0,373202.0,0.0,21.541294466817845,12.829877786508225,22
BMU,2017,7142316000.0,63578.0,0.0,22.68930293058932,11.060038506124684,23
BOL,2017,45927439594.7902,11344587.0,0.0,24.550328587938623,16.24425135997914,24
BRA,2017,2063514688805.78,204703445.0,0.0,28.35543180450808,19.137072884881615,25
BRB,2017,5683150000.0,280171.0,0.0,22.46077149359897,12.543158979269434,26
BRN,2017,12128168045.1245,432772.0,0.0,23.218796521796317,12.977968620095218,27
BTN,2017,2591358009.20276,754335.0,0.0,21.67544790350944,13.533593171071674,28
BWA,2017,16105155856.7708,2266747.0,0.0,23.502405297284163,14.63385676318741,29
CAF,2017,2072349972.6818,4793511.0,0.0,21.451949053297685,15.382773894886062,30
CAN,2017,1649265644244.09,36545075.0,0.0,28.131351240676732,17.414057015522324,31
